"dot_number","legal_name","dba_name","phy_state","phy_city","power_units","mcs150_date","carrier_operation","company_officer_1"
"3602955","INNOVA SERVICES TRANSPORTATION AND LOGISITCS LLC",,"TX","SUGAR LAND","197","20220304 1658","C","RODERICK FLEEKS"
"501838","S P & R TRANSPORTATION OF NH INC",,"MA","DRACUT","196","20130702 0000","C","WILLIAM COVALUCCI"
"2306285","BETOS TRUCKING SA DE CV",,"MC","ZAMORA","190","20240507 0000","A","ROBERTO BENJAMIN GALVAN AYALA"
"237425","LINDEN BULK TRANSPORTATION CO INC",,"NJ","LINDEN","190","20160624 1114",,"PAUL J DEFALCO"
"3446740","WIN WASTE INNOVATIONS OF NORTHERN NEW ENGLAND INC",,"NH","LONDONDERRY","187","20231211 1634","A","TIMOTHY VAUGHAN"
"186725","BLUE WATER TRUCKING INC",,"MI","ROMEO","181","20240503 1439","A","NICKOLAS RINKE"
"71676","TOLEDO AREA REGIONAL TRANSIT AUTHORITY",,"OH","TOLEDO","180","20070604 0000","C",
"2526995","TOWNE BUS LLC",,"NY","PLAINVIEW","180","20230526 1518","C","ROB QUINN"
"3430124","AC TRANS INC",,"OH","CINCINNATI","180","20240112 1539","A","ULUGBEK ABDULLAEV"
"225304","SHARPGAS INC","SHARP ENERGY","DE","GEORGETOWN","176","20240401 1357","A","STEVEN FARKAS"
"526959","AMARAL BUS CO INC",,"MA","WESTPORT","175","20240308 1637","C","JOSE C AMARAL"
"806763","PREMIUM ARMORED SERVICES INC",,"IL","WESTMONT","171","20080314 1619","C","MARK HOPPE"
"2393825","GROOME TRANSPORTATION OF TEXAS LLC",,"TX","HOUSTON","170","20221125 1505","C","BRAD M. HUNGATE"
"2017607","NELVI TRANSIT INC",,"NJ","PERTH AMBOY","170","20230822 1412","C","NELVI CABA"
"3705636","ALLCONNECTED LLC","INFINITE SOLUTIONS","NC","RALEIGH","157","20210820 0940","C","THARON ONTERIO GILLISPIE"
"2520708","MHT GROUP INC",,"IL","WESTMONT","153","20240424 1154","A","TYRONE MOORE"
"1649003","TWIN CITY TRANSPORTATION INC","TCT","MN","MENDOTA HEIGHTS","152","20180313 0000","C","TOM REIS"
"475925","CLARK BEVERAGE GROUP INC",,"MS","STARKVILLE","152","20240418 1045","A","ROBERT CLARK"
"3209243","UNISON FREIGHT TRANSPORT","UNISON FREIGHT FORWARDERS","TX","PRINCETON","151","20200409 1615","C","BRIDGETT FORD"
"76786","ILLINOIS SCHOOL BUS COMPANY INC",,"IL","CRESTWOOD","150","20240328 1139","A","JOHN BENISH, JR."
"294345","KARLS TRANSPORT INC",,"WI","ANTIGO","149","20240409 1533","A","KARL SCHULZ"
"26881","KOCH SCHOOL BUS SERVICE INC",,"MN","WACONIA","148","20220119 0855","C","BRIAN KOCH"
"4176227","PDSD SHIPPING LLC","PDSD SHIPPING","TX","KEMP","145","20240105 2247","A","PORSHA DUNN"
"4167647","STATEWIDE TRANSPORTATION LLC","STATEWIDE TRANSPORTATION","MN","MINNEAPOLIS","145","20231212 1228","A","TROY NADEAU"
"212866","LORENZ BUS SERVICE INC",,"MN","BLAINE","144","20240409 1457","A","BENJAMIN CANINE"
"2094844","FREDERICK CARTER III BUS SERVICE INC",,"MD","SAINT INIGOES","144","20211201 0000","C","FREDERICK CARTER III"
"602025","VEOLIA TRANSPORTATION JOINT VENTURE",,"AZ","PHOENIX","140","20100624 0000","C","CURTIS KOLEBAR"
"238183","C T HARRIS INC",,"GA","SANDERSVILLE","129","20090211 0000",,"C T HARRIS JR"
"1387966","ATLAS LOGISTICS GROUP RETAIL SERVICES ATLANTA LLC","BGDC DISTRIBUTION","GA","FOREST PARK","128","20240109 1544","A","CHAD BOWEN"
"4128045","REID TRANSPORTATION LLC",,"TX","ROCKWALL","125","20230907 1247","A","SHANNON LEIGH REID"
"2630164","TRUE NORTH FREIGHT SOLUTIONS INC",,"ON","HALTON HILLS","125","20240415 1135","A","MANPREET K BAL"
"2326279","MANSAW TRUCKING LLC",,"AR","GREENBRIER","124","20151119 1735","B","JASON HUGHS"
"4118825","OMAR TRANSPORTATION SERVICE LLC",,"NJ","GARFIELD","121","20230817 1313","A","OMAR ANTONIO GUTIERREZ-REYES"
"2913061","ANGEL CONSTRUCTION LLC.",,"FL","TAMPA","121","20160727 1920","C","YOEL MORALES SR."
"2551667","SPEEDY SINGH LOGISTICS INC",,"MB","WINNIPEG","120","20231229 1059","A","JASDEEP RAI"
"3606866","KENDALE TRUCKING LLC",,"OH","AKRON","120","20240427 1543","A","ALEX KENDALE MOTRYK"
"4013308","DAVILA SERVIES INC",,"TX","MCALLEN","119","20230118 1035","C","DANIEL DAVILA"
"2261399","MERRIMACK EDUCATION CENTER",,"MA","CHELMSFORD","116","20120109 1103","B","ANTONY WALKER"
"1201424","AFAB TRUCKING INC",,"FL","NORTH FORT MYERS","114","20070327 1049","C","TROY FUTCH JR."
"1314959","OW TRUCKING LLC",,"WI","VERONA","112","20240326 1821","B","AARON OLSON"
"3910464","PETROLIFICOS DE MONTERREY SA DE CV",,"TA","REYNOSA","112","20240416 0000","A","MANUEL BARBERENA MORALES"
"2440489","MEDIC TRANSPORTATION LLC",,"TN","MEMPHIS","112","20130924 1704","C","H. GORDON WYNN, III"
"173850","F T SILFIES INC",,"PA","ALLENTOWN","110","20150327 0000","C","CHRIS SILFIES"
"2564964","5BG TRANSPORTATION SERVICES INC",,"GA","NEWNAN","110","20230729 1723","A","JOSHUA JOHNSON"
"542209","CENTEX MATERIALS LLC",,"TX","AUSTIN","106","20230720 0000","C","RICHARD HOLMES"
"16724","DILLON'S BUS SERVICE INC",,"MD","HANOVER","103","20240430 1027","A","KIMBERLY NUTTER"
"2504104","S & H DEDICATED INC","S & H LEASING OF MICHIGAN INC","MI","WARREN","100","20140508 1517","C","THOMAS O WELLSMAN"
"89586","HOWARD TRANSPORTATION INC",,"MS","ELLISVILLE","100","20240502 1535","A","SUZANNE SKIPPER"
"1512874","EBERSEN INC","E I LOGISTICS","MN","MINNEAPOLIS","100","20130201 0000","C","CHIDI N. ANUNKA"
"4221391","COLOMBI TRUCKING LLC","COLOMBI TRUCKING","WA","MARYSVILLE","100","20240405 1755","A","RYAN ROY COLOMBI"
"3308226","MASTER ROAD SERVICE",,"CA","TARZANA","100","20190725 0000",,"KFIR COHEN"
"3351821","UACL LOGISTICS CANADA LTD",,"MI","WARREN","100","20220915 0000","C","JAMES BUTLER"
"746677","FISHER BUS SERVICE INC",,"NY","HAMBURG","100","20230809 0000","C","ANGELA COUGHLIN"
"2591449","LOADSTAR LOGISTICS INC",,"IL","HARWOOD HEIGHTS","99","20231218 1634","A","ALEKSANDRA ZEKIC"
"347612","CAPITOL TRANSIT INC",,"MI","MELVINDALE","99","20010326 0000","C",
"264809","MIDWEST EXPRESS CORPORATION","MIDWEST EXPRESS","KS","LENEXA","98","20240321 0000","A","PAUL PACE"
"532189","PORTLAND CONTAINER REPAIR CORPORATION",,"OR","PORTLAND","98","20240125 1223","A","ANDREW MILLICAN"
"2546328","CHILL X TRANS INC",,"ON","BRAMPTON","98","20231130 1506","A","MARIA CHAUDHRY"
"3104748","C & C SALES & LEASING INC","C & C TRUCK SALES & LEASING","OK","EL RENO","98","20221228 1704","B","DENNY WATSON"
"2173217","ACTION TOWING AND ROAD SERVICE INC","ACTION TOWING AND GREAT AMERICA TOWING","CA","REDWOOD CITY","97","20230928 1417","C","SHAUNA BANKS"
"276486","FOAMEX L P",,"PA","LINWOOD","97","20081111 0000","C","GEORGE KARPINSKI"
"1241984","ROMANO TRANSPORT LLC",,"IL","ELMHURST","94","20240430 1454","A","MICHAEL ROMANO"
"44876","COORS TRANSPORTATION CO",,"CO","GOLDEN","93","20050629 0919","C","TIM WOLF"
"74608","SOUTHERN CAL TRANSPORT CO",,"OR","BEAVERTON","90","20240418 1431","A","PETE SHEPARD"
"3268238","QUAD TRANS INC",,"CA","BAKERSFIELD","90","20210825 0000","C","MANGU KHAN"
"1654886","GRACE ROAD LINES LTD",,"AB","ROCKY VIEW","90","20240502 1546","A","SURJIT PARMAR"
"2455228","MM LOGISTICS LLC",,"MI","WESTLAND","88","20240422 2246","A","MARTIN MITKOVSKI"
"2393585","KOZY TRANSPORT SERVICES INC",,"MN","ST CLOUD","87","20240308 0000","A","THOMAS HIIVALA"
"2260485","GREEN ENERGY OILFIELD SERVICES LLC",,"TX","SAN ANTONIO","87","20160523 1024","B","ERICK THEIL"
"645648","EMPIRE AG TRANSPORT INC",,"CA","DELANO","86","20240322 0000","C","ANDREW A. KOUKLIS, JR"
"2192644","PARKING CONCEPTS INC","TRANSPORTATION CONCEPTS","CA","IRVINE","86","20230223 1345","C","RICH ROGERS"
"1454329","BOSTON CAR SERVICE",,"MA","BOSTON","85","20071010 0000","C","BRETT BARENHOLTZ"
"902604","H K B INC","SOUTHWEST INDUSTRIAL RIGGING","AZ","PHOENIX","85","20240123 1610","A","HARRY K BAKER"
"4076668","THOMAS FAMILY FOUNDATION LLC",,"NC","LOUISBURG","85","20230515 2217","C","CHRISTOPHER MA'LEEK THOMAS"
"134733","RICARDO AGUERO","R AGUERO TRUCKING","TX","LAREDO","84","20010326 0000","C",
"872248","CUSTOMIZED DISTRIBUTION LLC","CDI","FL","JACKSONVILLE","84","20240205 1819","A","DANNY DISTASIO"
"1064300","TUNG AIR TRANSPORT LTD",,"ON","MISSISSAUGA","84","20240214 1341","A","SARDARA SINGH TUNG"
"4179946","AKC LOGISTICS LLC",,"CO","COLORADO SPRINGS","83","20240115 1427","A","AARON LAMONT CHAMBERS JR."
"799744","SMITHFOODS TRUCKING INC",,"OH","ORRVILLE","80","20240314 0945","A","SCOTT SMITH"
"594386","BETTER BUSINESS CONNECTION INC","CONNECT","VA","STERLING","80","20240401 2249","A","MAHMOUD O. GHANNAM"
"3062297","TUSIMPLE INC",,"AZ","TUCSON","80","20230626 1732","C","BRIAN MOORE"
"1562103","ADVANTAGE LOGISTICS","CTS ADVANTAGE LOGISTICS","CA","SAN JOSE","80","20130701 1542","B","STEVE HANEY"
"179506","C&C TRANSPORTATION COMPANY INC",,"PA","PHILADELPHIA","80","20040528 0000","C","DOMINICK A CIPOLLINI"
"2447662","MIAMI FREIGHT & SHIPPING COMPANY",,"FL","MEDLEY","80","20170801 0000",,"JULIANA KEENE"
"134844","STATE STEEL SUPPLY INC",,"IA","SIOUX CITY","79","20240412 1220","A","JAMES BERNSTEIN"
"1465685","B&E TRUCKING CO",,"PA","FREDERICKSBURG","78","20240117 1151","A","SCOTT I SECHLER"
"2015067","ATLFREIGHTCOM LLC",,"GA","ELLENWOOD","78","20240415 1512","A","MATTHEW JOHNSON"
"3465466","ULTRA CARE LOGISTICS LLC",,"TX","DALLAS","77","20231016 0002","A","ANTHONY NWAUBANI"
"2339120","ARARAT TRANSPORTATION INC",,"MA","SWAMPSCOTT","77","20240405 1257","A","SUREN MKHITARIAN"
"2168717","SNYDER TRANSPORTATION LLC",,"NY","WEST SENECA","77","20110629 1537","C","THOMAS AYERS"
"284333","CRAWFORD BUS SERVICE INC",,"IL","LOCKPORT","77","20210902 1530","C","JOHN BENISH JR"
"834305","QUICK TRANSFER LTD",,"MB","WINNIPEG","76","20240416 1704","A","RYAN MUELLER"
"3589940","HP FREIGHT INC",,"IL","LEMONT","76","20240215 1241","A","DALIA DARGEVICE"
"1451227","PENTAGON LOGISTICS INC",,"ON","MISSISSAUGA","75","20231214 1157","A","DRAZEN BRATIC"
"772511","BRAD CORRIER TRUCKING LLC",,"OH","CUYAHOGA FALLS","75","20240201 1029","A","DIYORA RUZIMURODOVA"
"3420535","LUX CONSULTING LLC","LUX TRUCKING","MO","BRENTWOOD","75","20210503 1335","C","BRITTISH WILLIAMS"
"3855653","A TO B EXPRESS TRUCKING LLC",,"GA","ATLANTA","75","20220401 2021","C","ALIEU BADARA SONKO"
"571358","BAY AREA CONTRACT TRANSPORTATION SERVICES INC","CONTRACT TRANSPORTATION SERVICES","CA","SAN JOSE","75","20011023 0000","C",
"41545","HARDINGER TRANSFER CO INC","HARDINGER TRUCKING","PA","ERIE","74","20240313 1439","A","HAROLD J. BENDER, II"
"4147606","CLIENT CHOICE LLC",,"FL","ORLANDO","74","20231022 1629","A","RAMON SILVERIO JR."
