DROP_REASON,Domain,Name,Industry Groups,Keywords,Description,Social URLs,Score,Employees,Similarity,Start Date,Street,City,State,Zip,Country,Phones,Public Emails,Redirect Domain,Update Date
domain-excluded (factoringcompanies.com),factoringcompanies.com,Factor Finders,FINANCIAL_SERVICES:0.99,"invoice factoring:0.74, factoring invoice:0.7, factoring services:0.58, factor services:0.57, factoring companies:0.55, clients factoring:0.55, business invoice:0.54, start invoice:0.52, factoring marketplace:0.51, provider factoring:0.51, factoring broker:0.49, convenience factoring:0.48, factoring process:0.48, trucking factoring:0.47, lending funding:0.41","Factor Finders is a service that connects small businesses with invoice factoring companies to help them receive immediate cash advances for outstanding invoices. The process involves analyzing each business's needs, analyzing its financial situation, and matching it with the best financing options based on industry, size, and location. Factor Finders offers free quotes and provides access to a network of over 300 factoring firms across various industries, helping businesses streamline their funding processes and improve profitability.","https://www.facebook.com/factoringmarketplace, https://twitter.com/factoringmarket, https://www.youtube.com/channel/UCjWCX0qtBQd2Lz8AJHznDEQ",236,11-50,93,2016-11-09,25101 Chagrin Blvd,Beachwood,OH,44122,US,"+12162795144, +12166167881, +18554658870, +18554658873",info@factorfinders.com,,2026-03-17
domain-excluded (sbfactoring.net),sbfactoring.net,SB Factoring,FINANCIAL_SERVICES:0.98,"invoice factoring:0.68, factoring invoice:0.64, factored invoices:0.62, oilfield invoice:0.62, oilfield factoring:0.57, factoring oilfield:0.55, invoice financing:0.53, invoices sb:0.5, invoices cash:0.49, factoring services:0.49, sb factoring:0.44, credit factoring:0.44, industrial factoring:0.44, cash flow:0.36, trucking drilling:0.34","SB Factoring provides invoice factoring services specifically for the oil and gas industry. The service allows businesses to convert unpaid invoices into cash, with funding available on same-day basis within 24 hours. In addition to factoring, clients can sell their outstanding invoicing at up to 95% of their face value for various support services such as trucking, drilling, and transportation. The company offers competitive rates, personalized customer service, and a focus on quick approval times.","https://www.linkedin.com/company/sb-factoring-llc, https://www.facebook.com/sbfactoring.net",108,1-10,92,2016-11-13,1055 Cecilia St,Alice,TX,78332,US,"+13616680417, +14326844788",sb@sbfactoring.net,,2026-03-28
domain-excluded (factorfinders.com),factorfinders.com,Factor Finders,FINANCIAL_SERVICES:1.0,"invoice factoring:0.69, factoring invoice:0.65, factoring agencies:0.61, factoring broker:0.59, factoring companies:0.57, network factoring:0.56, connect factoring:0.56, financial factoring:0.56, vetted factoring:0.56, factoring cost:0.55, factoring partner:0.54, factor finders:0.53, factoring frequently:0.51, invoices funded:0.47, funding setup:0.42","Factor Finders is a network of invoice factoring companies that help businesses secure funding for their outstanding invoices. The service connects clients with vetted factoring firms that offer fast cash flow solutions, typically ranging from $5,000 to $5 million, with advance rates ranging from 80-90% to 3%, and provides personalized pricing based on the number of outstanding invos and costs per month. Factor Finders operates as an independent factoring broker, meaning they do not charge customers unless they are in debt or through factoring services.","https://www.linkedin.com/company/factor-finders, https://www.facebook.com/factorfinders, https://twitter.com/factorfinders, https://x.com/factorfinders, https://www.youtube.com/@FactorFinders",219,11-50,92,2016-02-02,25101 Chagrin Blvd,Cleveland,OH,44122,US,"+12162829732, +12162925660, +12168654922",,,2026-03-30
low similarity (91) in 1-10 band,capitaldepotfactoring.com,Capital Depot Corporation,FINANCIAL_SERVICES:0.98,"depot accounts:0.57, depot factoring:0.57, freight invoices:0.56, invoice factoring:0.53, factor invoices:0.53, capital depot:0.53, cash freight:0.52, depot corporation:0.49, cash invoices:0.49, trucking companies:0.48, invoices fast:0.46, factoring company:0.41, financial service:0.39, fees reserves:0.38, referrals fuel:0.35","Capital Depot is an accounts receivable factoring company that specializes in selling invoices for cash. Customers receive 100% advance on their freight invoicing, with no reserves held back. The service allows users to upload invoiced online and receive funds the same day they receive, ensuring transparency and quick funding. Capital Depot also offers various programs, including a referral program and a fuel card option, tailored for transportation businesses.","https://www.linkedin.com/company/capital-depot-corporation, https://www.facebook.com/capital-depot-115953769803394, https://twitter.com/capitaldepot",76,1-10,91,2019-04-30,606 Potter Rd,Des Plaines,IL,60016,US,"+18474701687, +18477704705, +17083850066",info@capitaldepot.com,,2026-04-15
low similarity (91) in 1-10 band,catamountfunding.com,"Catamount Funding, Inc.",FINANCIAL_SERVICES:1.0,"freight factoring:0.65, invoice factoring:0.65, factoring services:0.58, payroll factoring:0.55, houston factoring:0.54, factoring company:0.54, factoring finance:0.52, factoring purchase:0.52, financing freight:0.51, factoring accounts:0.51, factoring resourses:0.49, started factoring:0.47, factoring experience:0.47, leadership factoring:0.43, receivable management:0.4","Catamount Funding offers account receivable factoring and freight factoring services to help businesses quickly convert unpaid invoices into immediate cash. Their main functionality includes providing funding for day-to-day operations, managing accounts receivable management, and facilitating purchase order financing. Key features include quick approval times, expert collections, and tailored solutions for small businesses in the Houston area, ensuring efficient cash flow without taking on debt.","https://www.linkedin.com/company/catamount-funding-inc-, https://www.facebook.com/catamountfundinginc, https://www.facebook.com/pages/catamount-funding-inc/181362331910452, https://www.instagram.com/catamountfunding",109,1-10,91,2018-12-13,15995 N. Barker'S Landing Rd.,Houston,TX,77079,US,"+12815968577, +18776478577",info@catamountfunding.com,,2026-04-13
low similarity (91) in 1-10 band,bigbrotherfinancial.com,Big Brother Financial,FINANCIAL_SERVICES:1.0,"invoice factoring:0.65, factoring invoices:0.6, factoring companies:0.52, invoices bigbrotherfinancial:0.52, factoring services:0.51, freight factoring:0.5, paid factoring:0.49, manufacturing factoring:0.48, funding invoices:0.48, factoring customer:0.48, providing invoice:0.47, businesses texas:0.45, brother factoring:0.42, factoring oil:0.39, brother financial:0.38","Big Brother Financial offers invoice factoring services to businesses in Texas and across the United States. Their main functionality is to provide immediate cash payments for invoices, allowing companies to pay outstanding bills within 24 hours or more than 60 days. Key features include a straightforward process for clients, experienced staff, and tailored solutions that help improve cash flow for various industries such as staffing, manufacturing, and transportation.",https://www.linkedin.com/company/big-brother-financial-llc,116,1-10,91,2018-06-29,3515 Manitou Dr,Sugar Land,TX,77487,US,"+17133001111, +18328215121","invoices@bigbrotherfinancial.com, new@bigbrotherfinancial.com",,2026-03-21
low similarity (91) in 11-50 band,catfinco.com,Catalyst Financial Company,FINANCIAL_SERVICES:1.0,"financing invoice:0.54, catalyst financial:0.52, financing customer:0.49, fast financing:0.49, financing contact:0.48, invoice factoring:0.47, financing outgrowing:0.47, bank financing:0.47, ready bank:0.46, texas invoice:0.46, factoring bank:0.45, customer credit:0.4, funding texas:0.4, wait payment:0.39, wholesalers funded:0.37","Catalyst Financial Company provides invoice factoring services to help businesses secure cash flow through flexible financing options. They convert unpaid invoices into cash within 48 hours, allowing companies to quickly generate funds for operations without giving up equity. The company offers a straightforward transition process, with no exit fees, and focuses on helping clients navigate their financial challenges, particularly in the oil and gas industry. Catalyst has over 30 years of experience in supporting various industries, including staffing, manufacturing, and freight.","https://www.linkedin.com/company/catalyst-financial-company, https://www.facebook.com/catfinco",156,11-50,91,2020-05-26,0 / 180 N. Kirkwood,Houston,TX,77043,US,"+12818709182, +18667645443",info@catfinco.com,,2026-04-10
low similarity (91) in 1-10 band,bpfinancing.com,BP Financing,FINANCIAL_SERVICES:1.0,"bp financing:0.62, financing factoring:0.61, factoring payments:0.5, debt factoring:0.5, financing provide:0.5, factoring company:0.49, factor cash:0.49, financing make:0.48, freight factoring:0.48, bp factoring:0.48, financing benefits:0.48, factoring services:0.47, rapid payments:0.42, business waiting:0.36, invoicing managing:0.36","BP Financing offers factoring services to help businesses access their accounts receivable needs quickly, typically within 24 hours. The company provides cash advances based on the invoice value of goods, allowing companies to pay invoices in as little as 95% off their original balance. Key features include no interest fees or debt consolidation, dedicated customer service, and flexible financing options tailored for various industries such as trucking, construction, and retail. BP Financing aims to simplify payment processes by offering quick payments without upfront costs, making it accessible to businesses that may face challenges due to slow customer payments.",,173,1-10,91,2018-08-07,,Monsey,NY,10952,US,+18453523700,info@bpfinancing.com,,2026-04-14
low similarity (91) in 11-50 band,factoring.io,Factoring.io,FINANCIAL_SERVICES:0.99,"invoices factoring:0.71, invoice factoring:0.7, factoring invoices:0.68, factoring invoice:0.66, services factoring:0.63, invoices factor:0.63, factoring service:0.61, business factoring:0.59, payroll factoring:0.56, invoice accounts:0.55, process factoring:0.54, providers factoring:0.53, invoices step:0.53, loans factoring:0.52, payable factoring:0.51","Factoring.io is a company that provides invoice, payroll, and accounts receivable financing services to businesses of all sizes. Their main functionality allows companies to pay out their outstanding invoices within 24 hours through a partnership with Factoring.com, which offers competitive rates and no upfront fees. Key features include the ability to factor invoicing for better cash flow, flexible funding options tailored to various industries, and support for small businesses and agencies in managing their accounts payable needs effectively.",,109,11-50,91,2019-02-15,5830 East 2Nd Street,Casper,WY,82609,US,+18777809237,info@factoring.io,,2026-03-22
low similarity (91) in 1-10 band,trufunding.net,TRU Funding LLC,FINANCIAL_SERVICES:0.99,"freight factoring:0.62, leading freight:0.56, tms transportation:0.54, search freight:0.53, freight broker:0.52, transportation factoring:0.51, solutions transportation:0.47, equipment financing:0.45, experience transportation:0.44, tru funding:0.44, services delivering:0.43, company features:0.43, factoring company:0.42, truck trailer:0.37, registration fmcsa:0.33","TRU Funding is a factoring company that provides transportation and factoring solutions. Its main services include account receivable financing, equipment financing, fuel cards, truck and trailer leases, and specialized insurance for the transportation industry. With over 50 years of experience, TRU Funding aims to enhance business management for its clients by offering tailored programs and professional service. The company also supports the registration of companies and provides a client portal for managing accounts and inquiries.","https://www.linkedin.com/company/tru-funding-llc, https://www.instagram.com/trufunding",82,1-10,91,2019-12-13,745 Mcclintock Drive,Burr Ridge,IL,60527,US,"+17085855377, +18667060919",info@trufunding.net,,2026-04-02
