TIER,Domain,Name,Industry Groups,Keywords,Description,Social URLs,Score,Employees,Similarity,Start Date,Street,City,State,Zip,Country,Phones,Public Emails,Redirect Domain,Update Date
A,factorloads.com,FactorLoads,"FINANCIAL_SERVICES:0.36, SUPPLY_CHAIN_AND_PROCUREMENT:0.32","factorloads freight:0.71, freight factoring:0.67, trucking factoring:0.66, factorloads truck:0.65, factoring freight:0.64, factoring trucking:0.64, factorloads business:0.64, truck factoring:0.63, delivery factorloads:0.62, factoring truckers:0.61, companies factorloads:0.61, factorloads offer:0.56, services trucking:0.56, factoring service:0.56, invoicing cash:0.41","FactorLoads is a freight factoring company that provides cash flow solutions for trucking companies and freight brokers. Its main functionality includes offering various payment options such as truck freight factored, spot factoring, and invoice factoring to help trucks receive payments quickly after delivery. Key features include no monthly fees, transparent contracts without hidden charges, and tailored programs for small and medium-sized trucking businesses, ensuring they can focus on their operations while receiving immediate cash flow.","https://www.linkedin.com/company/insight-technology-inc, https://www.facebook.com/factorloads.insighttechnologyinc, https://www.instagram.com/factorloads",8,51-200,100,2023-01-18,820 S 300 W,Heber City,UT,84032,US,+18662180030,"funding@factorloads.com, startyourcompany@factorloads.com, elite@factorloads.com, ar@factorloads.com, advances@factorloads.com, sales@factorloads.com, billing@factorloads.com, sar@factorloads.com",,2026-04-13
A,compassfs.net,Compass Funding Solutions,FINANCIAL_SERVICES:0.98,"compass funding:0.61, funding compass:0.6, credit compass:0.59, compassfs net:0.53, offer compass:0.52, contact compassfs:0.51, compass ensures:0.5, compass insurance:0.49, factor compass:0.48, financing transportation:0.47, invoices freight:0.44, factoring service:0.42, cash flow:0.38, fees application:0.38, cfs clients:0.38","Compass Funding Solutions provides factoring and funding services specifically for transportation companies. Their main functionality includes same-day funding options, allowing clients to convert freight bills into cash within 24 hours. Key features include simple account setup, flexible contracts with no fees, and bundled savings packages that lower insurance rates. The company also offers business tools for tracking invoices and managing finances efficiently.","https://www.linkedin.com/company/compass-funding-solutions, https://www.facebook.com/compassfs, https://www.instagram.com/compass_funding_solutions, https://apps.apple.com/us/app/compass-holding/id1181587901, https://play.google.com/store/apps/details?id=com.compassholding",114,51-200,92,2017-04-27,115 55Th St.,Clarendon Hills,IL,60514,US,"+16305604890, +16308489584, +18886000237, +18448998092","unsubscribe@compassholding.net, contact@compassfs.net, legal@compassholding.net",,2026-03-30
A,tbsfactoring.com,"TBS Factoring Service, LLC",FINANCIAL_SERVICES:0.99,"freight factoring:0.65, factoring freight:0.63, factoring trucking:0.57, factoring trucker:0.56, help freight:0.55, services freight:0.53, tbs factoring:0.52, benefits freight:0.51, haul tbs:0.48, bookkeeping freight:0.47, trucking authority:0.47, using tbs:0.43, factoring services:0.42, discount fuel:0.38, brokers streamlined:0.36","TBS Factoring Service provides freight factoring and trucking authority services to help drivers secure immediate compensation for their loads. Their main functionality includes same-day processing, competitive rates, and a GPS-based app that simplifies the process of submitting paperwork. Key features include free credit checks, access to financial reports, and support for starting a trucking business with necessary permits and licenses. TBS has over 50 years of experience in the transportation industry and offers personalized customer service throughout the factoring process.","https://www.linkedin.com/company/tbs-factoring-service-llc1, https://www.facebook.com/129178777126848, https://twitter.com/https://twitter.com/tbsfactoring, https://twitter.com/tbsfactoring, https://www.youtube.com/channel/UCWgSwGgAtHN07lMLUDsEbmg/feed, https://apps.apple.com/us/app/tbs-get-paid/id1438166003, https://play.google.com/store/apps/details?id=com.tbsfactoring.factoringapp",355,51-200,92,2016-06-09,7740 Nw 85Th Terrace,Oklahoma City,OK,73132,US,"+18002077661, +14055284493","privacy@tbsokc.com, info@tbsokc.com, legal@tbsokc.com",,2026-04-02
A,summar.com,Summar Financial,FINANCIAL_SERVICES:1.0,"summar financial:0.63, financial summar:0.54, funding summar:0.49, summar partner:0.48, summardillo trusted:0.47, summar shield:0.45, funding freight:0.45, freight factoring:0.44, trucking companies:0.42, covers summar:0.41, financial skip:0.41, protect brokers:0.4, credit guarantee:0.35, flexible payroll:0.34, recourse fuel:0.32","The website offers information and resources related to financial products, particularly focusing on the SIPA (Securities & Investment Promotion) sector. It provides details about various investment opportunities in this area, including a 12-month warranty on investments made through its subsidiary, SME. The site also features news updates and insights into market trends and product offerings for investors. Users can find contact information for inquiries and subscribe to newsletters for regular updates.","https://www.linkedin.com/company/summar-financial-llc, https://www.facebook.com/summarfinancial, https://www.instagram.com/summarfinancial, https://twitter.com/https://twitter.com/summarfinancial, https://twitter.com/summarfinancial, https://www.youtube.com/@summarfinancial",335,51-200,92,2016-10-16,2299 Sw 27 Ave,Miami,FL,33145,US,"+17864067300, +17868668777",marketing@summar.com,,2026-03-31
A,rivierafinance.com,Riviera Finance,FINANCIAL_SERVICES:1.0,"invoice factoring:0.66, factoring invoice:0.61, invoices riviera:0.52, cash factoring:0.49, factoring services:0.48, flow invoice:0.47, riviera finance:0.47, invoice processing:0.47, factoring needs:0.45, advantages invoice:0.45, cash invoice:0.44, freight factoring:0.44, financing invoice:0.44, factoring purchase:0.44, factoring accounts:0.43","Riviera Finance offers invoice factoring solutions that allow businesses to purchase their accounts receivable for immediate cash. Their services are tailored to various industries, enabling quick turnaround times of up to 24 hours for funding requests. Key features include a responsive customer service team, an online portal for managing invoices and payments, and the ability to fund growth without diluting equity or debt. Riviera Finance aims to enhance cash flow while providing reliable financing options for small and medium-sized enterprises across multiple industries.","https://www.linkedin.com/company/riviera-finance, https://www.facebook.com/rivierafinance, https://www.instagram.com/riviera.finance, https://twitter.com/rivierafinance, https://x.com/rivierafinance, https://www.youtube.com/user/RivieraFinance",99,51-200,91,2019-12-04,220 Avenue I,Redondo Beach,CA,90277,US,"+18008727484, +19167245277",info@rivierafinance.com,,2026-03-19
A,bobtail.com,Bobtail,FINANCIAL_SERVICES:1.0,"bobtail mastercard:0.56, factoring fleet:0.54, bobtail factoring:0.52, factoring fees:0.49, trucking help:0.48, card factoring:0.48, bobtail fleet:0.46, fleet card:0.45, payments fuel:0.42, truck month:0.4, brokers factor:0.39, bank issuer:0.37, monthly setup:0.36, logistics trustpilot:0.35, term commitment:0.32","Bobtail offers fleet card and factoring solutions designed for trucking businesses to enhance cash flow and fuel savings. The service allows users to make same-day or next-day payments for loads or invoices, track spending in real-time, and manage invoicing through a mobile app. Key features include competitive pricing with no monthly fees, automated reporting, and dedicated customer support available in multiple languages. Bobtail also provides insights on freight markets and payment processes, ensuring transparency and efficient management of financial transactions.","https://www.linkedin.com/company/bobtail, https://www.facebook.com/bobtailcapital, https://www.instagram.com/bobtailcapital, https://apps.apple.com/pk/app/bobtail-app/id6443498223, https://play.google.com/store/apps/details?id=com.bobtail.app",231,51-200,91,2018-10-26,9466 Georgia Ave,Silver Spring,MD,20910,US,+14102042084,hello@bobtail.com,,2026-04-11
A,singlepointgroup.com,Single Point Capital,FINANCIAL_SERVICES:1.0,"businesses houston:0.54, texas businesses:0.51, companies houston:0.5, houston communities:0.46, point capital:0.46, texas nationwide:0.46, single point:0.44, point logistics:0.43, point insurance:0.42, serve texas:0.42, capital home:0.38, financing serve:0.37, start trucking:0.35, flexibility operational:0.33, highlight headings:0.3","Single Point Capital offers invoice factoring and financing solutions tailored for small to medium-sized businesses in various industries, including transportation, staffing, manufacturing, and distribution. Their main functionality is to provide immediate cash flow against unpaid invoices, helping companies improve their operations and expand. Key features include customized financing options, a fuel discount program for truckers, and support for starting new businesses, all aimed at enhancing cash flow and operational efficiency.","https://www.linkedin.com/company/singlepointcapital, https://www.facebook.com/singlepointcapital, https://www.instagram.com/singlepointcapital, https://x.com/singlepointcap, https://www.youtube.com/@singlepointcapital3043",122,51-200,90,2017-03-28,1960 Bypass Rd W,Humble,TX,77338,US,"+12815060600, +18007715633","factoring@singlepointgroup.com, info@singlepointcapital.com, info@singlepointgroup.com",,2026-04-11
A,commercialfund.com,Commercial Funding Inc.,FINANCIAL_SERVICES:1.0,"ar financing:0.64, financing equipment:0.6, financing asset:0.59, financing solutions:0.58, financing company:0.58, financing needs:0.58, financing invoice:0.54, financing factoring:0.54, funding accounts:0.53, based loans:0.53, industries funding:0.52, receivable financing:0.52, cash flow:0.48, role cash:0.46, business referral:0.37","Commercial Funding Inc. provides accounts receivable financing and invoice factoring solutions for businesses across various industries, including transportation, oil & gas, construction, manufacturing, and staffing. Their main services include asset-based loans that use existing assets as collateral for revolving lines of credit, DIP financing, and equipment financing. The company focuses on delivering fast and flexible funding options tailored to meet the specific needs of small businesses in these markets, ensuring efficient processing and support throughout the application process.","https://www.linkedin.com/company/commercial-fund, https://www.youtube.com/channel/UCzvvse4A9q94EW8ETdVIzSw",273,51-200,90,2018-04-18,2024 N. Tryon St.,Charlotte,NC,28202,US,"+17047310031, +18002222307, +18885756501","californiaprivacyrequest@commercialfund.com, info@commercialfund.com",,2026-04-17
A,corpbill.com,Corporate Billing,"FINANCIAL_SERVICES:0.87, BUSINESS_PRODUCTS_AND_SERVICES:0.08","corporate billing:0.64, billing team:0.51, recourse billing:0.51, billing meet:0.5, billing web:0.5, billing cbcharge:0.49, billing smooth:0.48, billing non:0.47, business help:0.46, repair business:0.45, help companies:0.45, customer service:0.42, credit agents:0.4, trucking automotive:0.39, cash 877:0.37","Corporate Billing offers flexible factoring solutions designed to help businesses in various industries, including automotive, transportation, oil and gas, manufacturing, and staffing. Their main functionalities includeourse billing, non-recourse billing for quick access to capital, and cbCharge, which simplifies the process of securing funding through a simple online portal. Clients can complete applications, submit invoices for payment 24/7, and receive payments within 24 hours without hidden fees or long-term contracts. The service aims to reduce credit risk and improve cash flow while enabling companies to grow by providing quick accessto capital.","https://www.linkedin.com/company/corporate-billing, https://www.facebook.com/corpbill, https://x.com/corpbill",230,51-200,89,2016-09-28,239 Johnston Street Se,Decatur,AL,35602,US,"+12565843600, +12565843680, +18775843600","credit@corpbill.com, customerservice@corpbill.com, sales@corpbill.com",,2026-03-20
A,bigthinkcapital.com,Big Think Capital,FINANCIAL_SERVICES:1.0,"business loans:0.65, business lending:0.65, business loan:0.63, loans business:0.61, business financing:0.6, business funding:0.56, loans big:0.55, lending solutions:0.55, loans essential:0.55, sba loans:0.53, loans insights:0.53, loans online:0.53, loans tailored:0.5, finance big:0.49, online funding:0.49","Big Think Capital is a lending service that provides tailored funding solutions for small businesses. It offers various loan options, including SBA loans, term loans, working capital lines of credit, commercial real estate loans, and invoice factoring, all designed to help entrepreneurs access flexible financial support for growth and operational needs. The platform simplifies the application process through transparent terms, expert guidance, and a streamlined experience for clients looking to secure fast and flexible financing solutions.","https://www.linkedin.com/company/bigthinkcapital.com, https://www.facebook.com/bigthinkcapital, https://www.instagram.com/big_think_capital, https://twitter.com/bigthinkcapital, https://twitter.com/https://twitter.com/bigthinkcapital, https://twitter.com/https://x.com/bigthinkcapital, https://www.tiktok.com/@gobigthinkcapital",301,51-200,89,2017-10-31,201 Broadway,New York,NY,10018,US,"+18442007201, +16464000563","hello@bigthinkcapital.com, info@bigthinkcapital.com",,2026-04-03
